id,page_name,status,url
1,Home,1,https://chatgpt.com/c/6947d1dd-3d58-8321-840b-djhjneiueigryv
2,About Aliens School,1,https://chatgpt.com/c/6947d1dd-3d58-8321-840b-bchnsbdctve
3,Vision,1,https://chatgpt.com/c/6947d1dd-3d58-8321-840b-4700a17032bf
4,Mission,0,
5,Founder Message,0,
6,Why Free Education,0,
7,How Aliens School Works,0,
8,Our Impact,0,
9,Our Values,0,
10,Roadmap (Future Plan),0,
11,Media & Press,0,
12,Contact Us,0,
13,PHP Course,0,
14,JavaScript Course,0,
15,Python Course,0,
16,Java Course,0,
17,C Programming,0,
18,C++ Programming,0,
19,Web Designing,0,
20,Frontend Development,0,
21,Backend Development,0,
22,Full Stack Development,0,
23,WordPress Development,0,
24,App Development,0,
25,Artificial Intelligence,0,
26,Machine Learning,0,
27,Data Science,0,
28,Cyber Security,0,
29,Blockchain Technology,0,
30,Cloud Computing,0,
31,DevOps,0,
32,API Development,0,
33,Video Editing,0,
34,Graphic Designing,0,
35,UI/UX Design,0,
36,Animation Basics,0,
37,AI Tools for Work,0,
38,Automation with AI,0,
39,Software Testing,0,
40,Database Management,0,
41,Operating Systems,0,
42,Networking Basics,0,
43,Free Education Program,0,
44,Scholarship Program,0,
45,Online Classes Program,0,
46,Offline Classes Program,0,
47,Internship Program,0,
48,Mentorship Program,0,
49,Night Learning Program,0,
50,Skill Booster Program,0,
51,AI Workforce Program,0,
52,Teacher Training Program,0,
53,Volunteer Program,0,
54,Rural Education Program,0,
55,Student Life,0,
56,Admission Process,0,
57,Eligibility Criteria,0,
58,Student Rules & Discipline,0,
59,Student Code of Conduct,0,
60,Student Projects,0,
61,Success Stories,0,
62,Career Guidance,0,
63,Student FAQs,0,
64,Alumni Network,0,
65,Become a Teacher,0,
66,Teacher Selection Process,0,
67,Teaching Model,0,
68,Teacher Rules,0,
69,Teacher Ethics,0,
70,Teacher Growth Path,0,
71,Rewards & Recognition,0,
72,Teacher FAQs,0,
73,Our Educators,0,
74,Management Team,0,
75,Aliens Foundation,0,
76,Foundation Vision,0,
77,Foundation Mission,0,
78,Donation Model,0,
79,Transparency & Reports,0,
80,Social Impact,0,
81,Community Programs,0,
82,Global Outreach,0,
83,Privacy Policy,0,
84,Terms & Conditions,0,
85,Refund Policy,0,
86,Code of Conduct,0,
87,Anti-Fraud Policy,0,
88,Child Safety Policy,0,
89,Anti-Harassment Policy,0,
90,Disclaimer,0,
91,FAQs,0,
92,Help Center,0,
93,Support,0,
94,Site Map,0,
95,Accessibility Statement,0,
96,Feedback,0,
97,Testimonials,0,
98,Announcements,0,
99,AI Tutor (Coming Soon),0,
100,Aliens University (Future),0,
101,Aliens City Vision,0,
102,Research & Innovation,0,
103,Partnerships,0,
104,Careers at Aliens,0,
